AgeBac20,TotValveBVAR
-35,943
-2,320
30,672
62,1759
95,720
127,870
159,1011
192,72
224,833
256,1058
288,565
321,721
353,1343
385,1016
417,1270
449,661
481,866
513,1181
545,1322
577,801
611,891
647,1747
683,1498
719,1454
755,2225
791,1582
827,1441
863,1973
899,1274
935,842
975,869
1019,1000
1063,893
1107,1024
1151,888
1195,936
1240,1238
1284,1418
1328,626
1372,880
1413,1241
1451,1554
1489,1724
1527,1611
1565,1172
1604,1916
1642,879
1680,1244
1718,1480
1756,1245
1793,1245
1828,850
1863,1174
1898,1843
1933,639
1969,730
2004,925
2039,1347
2074,1423
2109,912
2143,1336
2176,981
2209,114
2242,1175
2275,1818
2308,1562
2341,1188
2374,1208
2407,747
2440,777
2470,2153
2498,1533
2527,1476
2555,1699
2583,1634
2611,1071
2639,1907
2667,2305
2695,2392
2723,1915
2751,1748
2779,1449
2808,1482
2836,2492
2864,1491
2892,1685
2920,3272
2948,2132
2977,1400
3005,2137
3040,3183
3084,1552
3127,2171
3170,1167
3214,1039
3257,1436
3300,1006
3344,1120
3387,1043
3430,1473
3472,1060
3511,2175
3550,2045
3590,1711
3629,1277
3668,1232
3707,1210
3747,968
3786,806
3825,877
3868,999
3914,530
3960,490
4006,592
4053,537
4099,635
4145,618
4191,623
4237,526
4283,598
4327,753
4368,584
4409,1395
4450,996
4491,1327
4532,477
4573,955
4614,625
4655,1441
4696,735
4738,1213
4781,1035
4825,1490
4868,974
4911,789
4954,2184
4997,1374
5040,928
5083,1028
5126,818
5161,941
5188,1633
5215,479
5241,1362
5268,1248
5295,1511
5322,2789
5349,2274
5375,2361
5402,2838
5429,2098
5456,2092
5483,2425
5510,1498
5537,225
5564,1767
5591,1832
5618,2187
5644,2935
5671,4099
5698,261
5725,2867
5751,3514
5778,3614
5804,2796
5831,2467
5857,2372
5884,1686
5910,2354
5937,2458
5962,2602
5985,2162
6009,2216
6032,1031
6056,2081
6079,1348
6103,2091
6126,2098
6150,2292
6173,1210
6202,972
6236,897
6270,696
6304,540
6338,792
6372,948
6406,758
6440,760
6474,725
6508,1020
6542,1105
6576,1140
6610,1361
6644,1209
6678,1083
6712,1565
6745,1373
6779,1401
6813,1649
6847,1429
6879,1206
6910,1088
6941,1116
6972,1349
7003,1153
7034,1241
7064,1524
7095,1631
7126,3176
7157,2577
7182,2174
7202,1581
7221,2974
7241,1805
7261,2788
7280,2880
7300,2272
7320,2508
7339,2006
7359,2808
7379,2453
7398,2924
7418,4297
7437,2105
7457,3989
7476,4069
7496,6875
7515,4008
7535,5223
7554,5233
7576,3161
7600,3316
7624,2012
7648,2022
7672,2912
7696,2588
7720,2882
7744,2686
7768,2486
7792,1767
7816,2994
7841,3142
7865,2755
7890,2372
7914,1946
7939,2012
7964,1637
7988,1995
8013,2078
8037,1686
8062,2271
8088,1706
8113,2692
8139,2722
8164,2878
8190,2840
8215,2132
8241,3503
8266,4079
8292,2783
8317,2745
8341,2983
8365,3240
8389,2383
8413,2707
8437,2674
8461,3770
8485,2955
8509,3029
8533,3658
8562,2407
8594,2767
8627,1731
8660,1320
8693,1207
8726,1998
8759,2749
8792,2735
8824,2321
8857,2248
8889,3087
8920,1282
8952,6350
8983,2134
9014,308
9045,2139
9076,1567
9108,1355
9139,1171
9170,707
9202,874
9234,1716
9267,3164
9299,2294
9332,1352
9364,1846
9397,1981
9429,1509
9462,872
9494,971
9523,1653
9548,2684
9573,995
9598,1052
9623,1426
9648,1588
9673,811
9698,1007
9723,1218
9748,1024
9769,1645
9785,1479
9802,1483
9819,1964
9836,1407
9852,1348
9869,1696
9886,2267
9903,1451
9919,1481
9943,1300
9974,1268
10005,953
10035,1796
10066,845
10097,1034
10127,735
10158,2309
10189,4070
10220,7363
10251,3874
10282,6341
10313,2843
10345,2286
10376,1503
10407,1263
10439,1615
10470,1360
10501,703
10532,727
10564,586
10596,452
10628,846
10659,845
10691,1110
10723,891
10755,767
10786,835
10818,995
10850,660
10882,1009
10913,915
10944,931
10975,735
11006,938
11037,765
11068,1497
11100,1085
11131,1196
11162,1151
11193,1329
11225,1640
11257,1706
11289,1810
11321,1461
11353,836
11385,812
11417,1478
11449,1135
11481,2051
11520,1585
11566,2402
11612,1790
11658,2296
11704,2243
11750,918
11796,2145
11842,1824
11888,1362
11933,1191
11968,2055
11991,1274
12014,1271
12036,855
12059,1073
12082,1135
12105,1708
12128,1871
12151,1697
12174,1644
12195,3659
12214,3996
12233,6249
12252,8630
12272,18621
12291,12636
12310,16889
12330,17337
12349,7690
12368,8221
12388,6514
12407,5457
12427,5541
12447,2574
12467,2409
12487,4243
12506,2238
12526,4216
12546,6662
12566,11389
12586,7656
12608,9596
12629,8995
12651,7310
12672,5590
12694,5459
12715,5117
12736,6075
12758,4469
12779,3074
12800,1750
12819,2161
12838,2054
12857,1254
12877,5515
12896,6178
12915,3481
12935,705
12954,1544
12973,1845
12993,1937
13012,1858
13032,2584
13052,2529
13072,1523
13091,2107
13111,2174
13131,2076
13151,2978
13170,3560
13190,3047
13210,2551
13230,1436
13250,1164
13271,1737
13291,2271
13311,2340
13331,1759
13351,2360
13371,1787
13391,1937
13411,1446
13431,1430
13451,1835
13471,3218
13490,2287
13510,2039
13530,1960
13550,2158
13570,2281
13593,3910
13620,5122
13646,4047
13673,3959
13699,3837
13726,5840
13752,3959
13779,6790
13805,7231
13832,4260
13866,4101
13909,3184
13951,2207
13993,2524
14035,2325
14078,2878
14120,3166
14162,2949
14204,5416
14247,2756
14288,1216
14330,1610
14371,1398
14413,2021
14454,744
14496,994
14537,1203
14579,1267
14620,1251
14662,1165
14704,2156
14746,1781
14788,1493
14830,1059
14873,1636
14915,1859
14957,1333
15000,952
15042,2031
15084,2147
15126,1408
15168,546
15209,61
15251,809
15292,731
15334,269
15375,480
15417,534
15459,1457
15500,2378
15539,1440
15577,3310
15614,1184
15652,2978
15689,2450
15726,2148
15764,2179
15801,2116
15838,2527
15876,1988
15907,1633